Postcode,Response,Error
2821,"[{""id"": 8891, ""description"": ""BURROWAY NSW 2821""}, {""id"": 560, ""description"": ""NARROMINE NSW 2821""}]",
2822,"[{""id"": 10548, ""description"": ""BALLADORAN NSW 2822""}, {""id"": 14749, ""description"": ""EUMUNGERIE NSW 2822""}]",
2823,"[{""id"": 9014, ""description"": ""BUNDEMAR NSW 2823""}, {""id"": 8348, ""description"": ""CATHUNDRAL NSW 2823""}, {""id"": 9812, ""description"": ""DANDALOO NSW 2823""}, {""id"": 16505, ""description"": ""GIN GIN NSW 2823""}, {""id"": 7596, ""description"": ""TRANGIE NSW 2823""}]",
2824,"[{""id"": 10636, ""description"": ""BEEMUNNEL NSW 2824""}, {""id"": 8945, ""description"": ""BULLAGREEN NSW 2824""}, {""id"": 14672, ""description"": ""EENAWEENA NSW 2824""}, {""id"": 2272, ""description"": ""MARTHAGUY NSW 2824""}, {""id"": 3243, ""description"": ""MOUNT FOSTER NSW 2824""}, {""id"": 3298, ""description"": ""MOUNT HARRIS NSW 2824""}, {""id"": 3613, ""description"": ""MUMBLEBONE PLAIN NSW 2824""}, {""id"": 472, ""description"": ""OXLEY NSW 2824""}, {""id"": 1980, ""description"": ""PIGEONBAH NSW 2824""}, {""id"": 1945, ""description"": ""PINE CLUMP NSW 2824""}, {""id"": 1109, ""description"": ""RAVENSWOOD NSW 2824""}, {""id"": 1460, ""description"": ""RED HILL NSW 2824""}, {""id"": 6254, ""description"": ""SNAKES PLAIN NSW 2824""}, {""id"": 7438, ""description"": ""TENANDRA NSW 2824""}, {""id"": 4266, ""description"": ""WARREN NSW 2824""}]",
2825,"[{""id"": 10867, ""description"": ""BABINDA NSW 2825""}, {""id"": 8965, ""description"": ""BUDDABADAH NSW 2825""}, {""id"": 8444, ""description"": ""CANONBA NSW 2825""}, {""id"": 13260, ""description"": ""HONEYBUGLE NSW 2825""}, {""id"": 2383, ""description"": ""MIANDETTA NSW 2825""}, {""id"": 3521, ""description"": ""MULLA NSW 2825""}, {""id"": 3595, ""description"": ""MULLENGUDGERY NSW 2825""}, {""id"": 3377, ""description"": ""MURRAWOMBIE NSW 2825""}, {""id"": 8, ""description"": ""NYNGAN NSW 2825""}, {""id"": 380, ""description"": ""PANGEE NSW 2825""}]",
2826,"[{""id"": 12177, ""description"": ""BOGAN NSW 2826""}, {""id"": 599, ""description"": ""NEVERTIRE NSW 2826""}]",
2827,"[{""id"": 10650, ""description"": ""BEARBONG NSW 2827""}, {""id"": 11922, ""description"": ""BIDDON NSW 2827""}, {""id"": 11812, ""description"": ""BREELONG NSW 2827""}, {""id"": 9851, ""description"": ""COLLIE NSW 2827""}, {""id"": 9394, ""description"": ""CURBAN NSW 2827""}, {""id"": 16547, ""description"": ""GILGANDRA NSW 2827""}, {""id"": 2535, ""description"": ""MERRIGAL NSW 2827""}]",
2828,"[{""id"": 11334, ""description"": ""ARMATREE NSW 2828""}, {""id"": 12294, ""description"": ""BLACK HOLLOW NSW 2828""}, {""id"": 11447, ""description"": ""BOURBAH NSW 2828""}, {""id"": 15795, ""description"": ""GULARGAMBONE NSW 2828""}, {""id"": 3202, ""description"": ""MOUNT TENANDRA NSW 2828""}, {""id"": 1070, ""description"": ""QUANDA NSW 2828""}, {""id"": 4223, ""description"": ""WARRUMBUNGLE NSW 2828""}]",
2829,"[{""id"": 12018, ""description"": ""BILLEROY NSW 2829""}, {""id"": 9952, ""description"": ""COMBARA NSW 2829""}, {""id"": 10258, ""description"": ""CONIMBIA NSW 2829""}, {""id"": 10301, ""description"": ""COONAMBLE NSW 2829""}, {""id"": 16549, ""description"": ""GILGOOMA NSW 2829""}, {""id"": 15896, ""description"": ""GUNGALMAN NSW 2829""}, {""id"": 3044, ""description"": ""MAGOMETON NSW 2829""}, {""id"": 524, ""description"": ""NEBEA NSW 2829""}, {""id"": 1950, ""description"": ""PINE GROVE NSW 2829""}, {""id"": 7491, ""description"": ""TERIDGERIE NSW 2829""}, {""id"": 7552, ""description"": ""TOOLOON NSW 2829""}, {""id"": 5110, ""description"": ""URAWILKIE NSW 2829""}, {""id"": 6179, ""description"": ""WINGADEE NSW 2829""}]",
2830,"[{""id"": 10572, ""description"": ""BALLIMORE NSW 2830""}, {""id"": 11860, ""description"": ""BROCKLEHURST NSW 2830""}, {""id"": 15086, ""description"": ""DUBBO NSW 2830""}, {""id"": 15073, ""description"": ""DUBBO DC NSW 2830""}, {""id"": 15074, ""description"": ""DUBBO EAST NSW 2830""}, {""id"": 15075, ""description"": ""DUBBO GROVE NSW 2830""}, {""id"": 15076, ""description"": ""DUBBO WEST NSW 2830""}, {""id"": 15529, ""description"": ""GOONOO FOREST NSW 2830""}, {""id"": 14086, ""description"": ""KICKABIL NSW 2830""}, {""id"": 3857, ""description"": ""MINORE NSW 2830""}, {""id"": 3626, ""description"": ""MOGRIGUY NSW 2830""}, {""id"": 1123, ""description"": ""RAWSONVILLE NSW 2830""}, {""id"": 7499, ""description"": ""TERRAMUNGAMINE NSW 2830""}, {""id"": 7563, ""description"": ""TOONGI NSW 2830""}, {""id"": 4295, ""description"": ""WAMBANGALANG NSW 2830""}]",
2831,"[{""id"": 9201, ""description"": ""BYROCK NSW 2831""}, {""id"": 8488, ""description"": ""CARINDA NSW 2831""}, {""id"": 10234, ""description"": ""COOLABAH NSW 2831""}, {""id"": 14697, ""description"": ""ELONG ELONG NSW 2831""}, {""id"": 16522, ""description"": ""GIRILAMBONE NSW 2831""}, {""id"": 13372, ""description"": ""HERMIDALE NSW 2831""}, {""id"": 3078, ""description"": ""MACQUARIE MARSHES NSW 2831""}, {""id"": 2549, ""description"": ""MERRYGOEN NSW 2831""}, {""id"": 548, ""description"": ""NEILREX NSW 2831""}, {""id"": 6, ""description"": ""NYMAGEE NSW 2831""}, {""id"": 1164, ""description"": ""QUAMBONE NSW 2831""}, {""id"": 7254, ""description"": ""THE MARRA NSW 2831""}, {""id"": 6063, ""description"": ""WONGARBON NSW 2831""}]",
2832,"[{""id"": 9957, ""description"": ""COME BY CHANCE NSW 2832""}, {""id"": 9348, ""description"": ""CRYON NSW 2832""}, {""id"": 9422, ""description"": ""CUMBORAH NSW 2832""}, {""id"": 15970, ""description"": ""GRAWIN OPAL FIELDS NSW 2832""}, {""id"": 5012, ""description"": ""WALGETT NSW 2832""}]",
2833,"[{""id"": 9838, ""description"": ""COLLARENEBRI NSW 2833""}]",
2834,"[{""id"": 11289, ""description"": ""ANGLEDOOL NSW 2834""}, {""id"": 13744, ""description"": ""LIGHTNING RIDGE NSW 2834""}]",
2835,"[{""id"": 8940, ""description"": ""BULLA NSW 2835""}, {""id"": 9179, ""description"": ""CANBELEGO NSW 2835""}, {""id"": 10077, ""description"": ""COBAR NSW 2835""}, {""id"": 9322, ""description"": ""CUBBA NSW 2835""}, {""id"": 12444, ""description"": ""IRYMPLE NSW 2835""}, {""id"": 13979, ""description"": ""KERRIGUNDI NSW 2835""}, {""id"": 13630, ""description"": ""KULWIN NSW 2835""}, {""id"": 819, ""description"": ""NOONA NSW 2835""}, {""id"": 7139, ""description"": ""SANDY CREEK NSW 2835""}, {""id"": 7649, ""description"": ""TINDAREY NSW 2835""}]",
2836,"[{""id"": 5901, ""description"": ""WHITE CLIFFS NSW 2836""}, {""id"": 5714, ""description"": ""WILCANNIA NSW 2836""}]",
2838,"[{""id"": 15654, ""description"": ""GOODOOGA NSW 2838""}]",
2839,"[{""id"": 11828, ""description"": ""BREWARRINA NSW 2839""}, {""id"": 9862, ""description"": ""COLLERINA NSW 2839""}, {""id"": 15748, ""description"": ""GONGOLGON NSW 2839""}, {""id"": 736, ""description"": ""NARRAN LAKE NSW 2839""}, {""id"": 8248, ""description"": ""TALAWANTA NSW 2839""}, {""id"": 4435, ""description"": ""WEILMORINGLE NSW 2839""}]",
2840,"[{""id"": 10748, ""description"": ""BARRINGUN NSW 2840""}, {""id"": 11434, ""description"": ""BOURKE NSW 2840""}, {""id"": 14497, ""description"": ""ENNGONIA NSW 2840""}, {""id"": 16231, ""description"": ""FORDS BRIDGE NSW 2840""}, {""id"": 15808, ""description"": ""GUMBALIE NSW 2840""}, {""id"": 15889, ""description"": ""GUNDERBOOKA NSW 2840""}, {""id"": 12610, ""description"": ""HUNGERFORD NSW 2840""}, {""id"": 2649, ""description"": ""LOUTH NSW 2840""}, {""id"": 874, ""description"": ""NORTH BOURKE NSW 2840""}, {""id"": 7693, ""description"": ""TILPA NSW 2840""}, {""id"": 4368, ""description"": ""WANAARING NSW 2840""}, {""id"": 5588, ""description"": ""YANTABULLA NSW 2840""}]",
2842,"[{""id"": 2479, ""description"": ""MENDOORAN NSW 2842""}, {""id"": 3645, ""description"": ""MOLLYAN NSW 2842""}, {""id"": 5682, ""description"": ""YARRAGRIN NSW 2842""}]",
2843,"[{""id"": 10241, ""description"": ""COOLAH NSW 2843""}]",
2844,"[{""id"": 12342, ""description"": ""BIRRIWA NSW 2844""}, {""id"": 95001, ""description"": ""COBBORA NSW 2844""}, {""id"": 15404, ""description"": ""DUNEDOO NSW 2844""}, {""id"": 13963, ""description"": ""LEADVILLE NSW 2844""}]",
2845,"[{""id"": 4320, ""description"": ""WALLERAWANG NSW 2845""}]",
2846,"[{""id"": 8426, ""description"": ""CAPERTEE NSW 2846""}, {""id"": 16313, ""description"": ""GLEN DAVIS NSW 2846""}, {""id"": 6762, ""description"": ""ROUND SWAMP NSW 2846""}]",
2847,"[{""id"": 1552, ""description"": ""PORTLAND NSW 2847""}]",
2848,"[{""id"": 11866, ""description"": ""BROGANS CREEK NSW 2848""}, {""id"": 8795, ""description"": ""CHARBON NSW 2848""}, {""id"": 8657, ""description"": ""CLANDULLA NSW 2848""}, {""id"": 12791, ""description"": ""KANDOS NSW 2848""}]",
2849,"[{""id"": 12180, ""description"": ""BOGEE NSW 2849""}, {""id"": 11643, ""description"": ""BREAKFAST CREEK NSW 2849""}, {""id"": 8966, ""description"": ""BUDDEN NSW 2849""}, {""id"": 9193, ""description"": ""BYLONG NSW 2849""}, {""id"": 9117, ""description"": ""CAMBOON NSW 2849""}, {""id"": 8302, ""description"": ""CARWELL NSW 2849""}, {""id"": 9870, ""description"": ""COGGAN NSW 2849""}, {""id"": 9452, ""description"": ""COXS CREEK NSW 2849""}, {""id"": 9453, ""description"": ""COXS CROWN NSW 2849""}, {""id"": 9752, ""description"": ""DABEE NSW 2849""}, {""id"": 15407, ""description"": ""DUNGEREE NSW 2849""}, {""id"": 15497, ""description"": ""DUNVILLE LOOP NSW 2849""}, {""id"": 16525, ""description"": ""GINGHI NSW 2849""}, {""id"": 16304, ""description"": ""GLEN ALICE NSW 2849""}, {""id"": 15798, ""description"": ""GROWEE NSW 2849""}, {""id"": 14221, ""description"": ""KELGOOLA NSW 2849""}, {""id"": 13911, ""description"": ""LEE CREEK NSW 2849""}, {""id"": 3140, ""description"": ""MOUNT MARSDEN NSW 2849""}, {""id"": 3473, ""description"": ""MURRUMBO NSW 2849""}, {""id"": 218, ""description"": ""NULLO MOUNTAIN NSW 2849""}, {""id"": 429, ""description"": ""OLINDA NSW 2849""}, {""id"": 2052, ""description"": ""PINNACLE SWAMP NSW 2849""}, {""id"": 1244, ""description"": ""PYANGLE NSW 2849""}, {""id"": 6846, ""description"": ""RYLSTONE NSW 2849""}, {""id"": 4732, ""description"": ""UPPER BYLONG NSW 2849""}, {""id"": 5080, ""description"": ""UPPER GROWEE NSW 2849""}, {""id"": 5104, ""description"": ""UPPER NILE NSW 2849""}, {""id"": 6156, ""description"": ""WIRRABA NSW 2849""}]",
2850,"[{""id"": 1, ""description"": ""AARONS PASS NSW 2850""}, {""id"": 11262, ""description"": ""APPLE TREE FLAT NSW 2850""}, {""id"": 11205, ""description"": ""AVISFORD NSW 2850""}, {""id"": 10467, ""description"": ""BARA NSW 2850""}, {""id"": 10428, ""description"": ""BARIGAN NSW 2850""}, {""id"": 12168, ""description"": ""BOCOBLE NSW 2850""}, {""id"": 12287, ""description"": ""BOMBIRA NSW 2850""}, {""id"": 11424, ""description"": ""BOTOBOLAR NSW 2850""}, {""id"": 11727, ""description"": ""BUCKAROO NSW 2850""}, {""id"": 8972, ""description"": ""BUDGEE BUDGEE NSW 2850""}, {""id"": 8885, ""description"": ""BURRUNDULLA NSW 2850""}, {""id"": 9293, ""description"": ""CAERLEON NSW 2850""}, {""id"": 9175, ""description"": ""CANADIAN LEAD NSW 2850""}, {""id"": 8516, ""description"": ""CARCALGONG NSW 2850""}, {""id"": 9855, ""description"": ""COLLINGWOOD NSW 2850""}, {""id"": 10230, ""description"": ""COOKS GAP NSW 2850""}, {""id"": 10124, ""description"": ""COOYAL NSW 2850""}, {""id"": 9535, ""description"": ""CROSS ROADS NSW 2850""}, {""id"": 9327, ""description"": ""CUDGEGONG NSW 2850""}, {""id"": 9346, ""description"": ""CULLENBONE NSW 2850""}, {""id"": 9421, ""description"": ""CUMBO NSW 2850""}, {""id"": 14607, ""description"": ""ERUDGERE NSW 2850""}, {""id"": 14935, ""description"": ""EURUNDEREE NSW 2850""}, {""id"": 16100, ""description"": ""FROG ROCK NSW 2850""}, {""id"": 16071, ""description"": ""GALAMBINE NSW 2850""}, {""id"": 15967, ""description"": ""GRATTAI NSW 2850""}, {""id"": 15928, ""description"": ""GREEN GULLY NSW 2850""}, {""id"": 13137, ""description"": ""HARGRAVES NSW 2850""}, {""id"": 12996, ""description"": ""HAVILAH NSW 2850""}, {""id"": 12962, ""description"": ""HAYES GAP NSW 2850""}, {""id"": 13436, ""description"": ""HILL END NSW 2850""}, {""id"": 13218, ""description"": ""HOME RULE NSW 2850""}, {""id"": 12660, ""description"": ""ILFORD NSW 2850""}, {""id"": 12726, ""description"": ""KAINS FLAT NSW 2850""}, {""id"": 13792, ""description"": ""LINBURN NSW 2850""}, {""id"": 2682, ""description"": ""LUE NSW 2850""}, {""id"": 2976, ""description"": ""MAITLAND BAR NSW 2850""}, {""id"": 2474, ""description"": ""MENAH NSW 2850""}, {""id"": 2524, ""description"": ""MEROO NSW 2850""}, {""id"": 3797, ""description"": ""MILROY NSW 2850""}, {""id"": 3654, ""description"": ""MOGO NSW 2850""}, {""id"": 3745, ""description"": ""MONIVAE NSW 2850""}, {""id"": 4052, ""description"": ""MOOLARBEN NSW 2850""}, {""id"": 3248, ""description"": ""MOUNT FROME NSW 2850""}, {""id"": 3301, ""description"": ""MOUNT KNOWLES NSW 2850""}, {""id"": 3523, ""description"": ""MUDGEE NSW 2850""}, {""id"": 3591, ""description"": ""MULLAMUDDY NSW 2850""}, {""id"": 3585, ""description"": ""MUNGHORN NSW 2850""}, {""id"": 1630, ""description"": ""PIAMBONG NSW 2850""}, {""id"": 1239, ""description"": ""PUTTA BUCCA NSW 2850""}, {""id"": 1250, ""description"": ""PYRAMUL NSW 2850""}, {""id"": 1086, ""description"": ""QUEENS PINCH NSW 2850""}, {""id"": 1309, ""description"": ""RIVERLEA NSW 2850""}, {""id"": 6746, ""description"": ""RUNNING STREAM NSW 2850""}, {""id"": 6986, ""description"": ""SALLYS FLAT NSW 2850""}, {""id"": 6709, ""description"": ""SPRING FLAT NSW 2850""}, {""id"": 6516, ""description"": ""ST FILLANS NSW 2850""}, {""id"": 7902, ""description"": ""STONY CREEK NSW 2850""}, {""id"": 8061, ""description"": ""TAMBAROORA NSW 2850""}, {""id"": 7681, ""description"": ""TICHULAR NSW 2850""}, {""id"": 7624, ""description"": ""TOTNES VALLEY NSW 2850""}, {""id"": 4848, ""description"": ""TRIAMBLE NSW 2850""}, {""id"": 4862, ""description"": ""TURILL NSW 2850""}, {""id"": 4695, ""description"": ""TWELVE MILE NSW 2850""}, {""id"": 4673, ""description"": ""ULAN NSW 2850""}, {""id"": 4677, ""description"": ""ULLAMALLA NSW 2850""}, {""id"": 5710, ""description"": ""WILBETREE NSW 2850""}, {""id"": 6127, ""description"": ""WILPINJONG NSW 2850""}, {""id"": 6099, ""description"": ""WINDEYER NSW 2850""}, {""id"": 5984, ""description"": ""WOLLAR NSW 2850""}, {""id"": 5209, ""description"": ""WORLDS END NSW 2850""}, {""id"": 5676, ""description"": ""YARRABIN NSW 2850""}, {""id"": 5657, ""description"": ""YARRAWONGA NSW 2850""}]",
2852,"[{""id"": 10780, ""description"": ""BARNEYS REEF NSW 2852""}, {""id"": 11942, ""description"": ""BERYL NSW 2852""}, {""id"": 8925, ""description"": ""BUNGABA NSW 2852""}, {""id"": 10093, ""description"": ""COPE NSW 2852""}, {""id"": 9418, ""description"": ""CUMBANDRY NSW 2852""}, {""id"": 15567, ""description"": ""GOOLMA NSW 2852""}, {""id"": 15799, ""description"": ""GULGONG NSW 2852""}, {""id"": 15909, ""description"": ""GUNTAWANG NSW 2852""}, {""id"": 2145, ""description"": ""MEBUL NSW 2852""}, {""id"": 2526, ""description"": ""MEROTHERIE NSW 2852""}, {""id"": 7982, ""description"": ""STUBBO NSW 2852""}, {""id"": 8233, ""description"": ""TALLAWANG NSW 2852""}, {""id"": 4702, ""description"": ""TWO MILE FLAT NSW 2852""}]",
2864,"[{""id"": 11442, ""description"": ""BOWAN PARK NSW 2864""}, {""id"": 9325, ""description"": ""CUDAL NSW 2864""}, {""id"": 3424, ""description"": ""MURGA NSW 2864""}, {""id"": 7725, ""description"": ""TOOGONG NSW 2864""}]",
2865,"[{""id"": 12169, ""description"": ""BOCOBRA NSW 2865""}, {""id"": 15809, ""description"": ""GUMBLE NSW 2865""}, {""id"": 2956, ""description"": ""MANILDRA NSW 2865""}]",
2866,"[{""id"": 10977, ""description"": ""AMAROO NSW 2866""}, {""id"": 11527, ""description"": ""BOOMEY NSW 2866""}, {""id"": 9432, ""description"": ""CUNDUMBUL NSW 2866""}, {""id"": 14573, ""description"": ""EUCHAREENA NSW 2866""}, {""id"": 16137, ""description"": ""GARRA NSW 2866""}, {""id"": 13858, ""description"": ""LARRAS LEE NSW 2866""}, {""id"": 3649, ""description"": ""MOLONG NSW 2866""}]",
2867,"[{""id"": 10594, ""description"": ""BALDRY NSW 2867""}, {""id"": 9424, ""description"": ""CUMNOCK NSW 2867""}, {""id"": 14925, ""description"": ""EURIMBLA NSW 2867""}, {""id"": 2717, ""description"": ""LOOMBAH NSW 2867""}, {""id"": 5505, ""description"": ""YULLUNDRY NSW 2867""}]",
2868,"[{""id"": 11437, ""description"": ""BOURNEWOOD NSW 2868""}, {""id"": 159, ""description"": ""NORTH YEOVAL NSW 2868""}, {""id"": 97, ""description"": ""OBLEY NSW 2868""}, {""id"": 5440, ""description"": ""YEOVAL NSW 2868""}]",
2869,"[{""id"": 1804, ""description"": ""PEAK HILL NSW 2869""}, {""id"": 7708, ""description"": ""TOMINGLEY NSW 2869""}, {""id"": 4845, ""description"": ""TREWILGA NSW 2869""}]",
2870,"[{""id"": 11084, ""description"": ""ALECTOWN NSW 2870""}, {""id"": 9048, ""description"": ""BUMBERRY NSW 2870""}, {""id"": 10226, ""description"": ""COOKAMIDGERA NSW 2870""}, {""id"": 10232, ""description"": ""COOKS MYALLS NSW 2870""}, {""id"": 9607, ""description"": ""DAROOBALGIE NSW 2870""}, {""id"": 15531, ""description"": ""GOONUMBLA NSW 2870""}, {""id"": 2867, ""description"": ""MANDAGERY NSW 2870""}, {""id"": 1727, ""description"": ""PARKES NSW 2870""}, {""id"": 7680, ""description"": ""TICHBORNE NSW 2870""}]",
2871,"[{""id"": 10616, ""description"": ""BEDGERABONG NSW 2871""}, {""id"": 10197, ""description"": ""CORINELLA NSW 2871""}, {""id"": 14990, ""description"": ""FAIRHOLME NSW 2871""}, {""id"": 16223, ""description"": ""FORBES NSW 2871""}, {""id"": 16160, ""description"": ""GAREMA NSW 2871""}, {""id"": 12856, ""description"": ""JEMALONG NSW 2871""}, {""id"": 3607, ""description"": ""MULYANDRY NSW 2871""}, {""id"": 420, ""description"": ""OOMA NSW 2871""}, {""id"": 1798, ""description"": ""PAYTENS BRIDGE NSW 2871""}, {""id"": 4220, ""description"": ""WARROO NSW 2871""}, {""id"": 6166, ""description"": ""WIRRINYA NSW 2871""}]",
2873,"[{""id"": 11123, ""description"": ""ALBERT NSW 2873""}, {""id"": 14844, ""description"": ""FIVE WAYS NSW 2873""}, {""id"": 2381, ""description"": ""MIAMLEY NSW 2873""}, {""id"": 7626, ""description"": ""TOTTENHAM NSW 2873""}]",
2874,"[{""id"": 4893, ""description"": ""TULLAMORE NSW 2874""}]",
2875,"[{""id"": 11751, ""description"": ""BRUIE PLAINS NSW 2875""}, {""id"": 14759, ""description"": ""FIFIELD NSW 2875""}, {""id"": 392, ""description"": ""OOTHA NSW 2875""}, {""id"": 4796, ""description"": ""TRUNDLE NSW 2875""}, {""id"": 5673, ""description"": ""YARRABANDAI NSW 2875""}]",
2876,"[{""id"": 12191, ""description"": ""BOGAN GATE NSW 2876""}, {""id"": 16579, ""description"": ""GUNNING GAP NSW 2876""}, {""id"": 15905, ""description"": ""GUNNINGBLAND NSW 2876""}, {""id"": 623, ""description"": ""NELUNGALOO NSW 2876""}]",
2877,"[{""id"": 12222, ""description"": ""BOBADAH NSW 2877""}, {""id"": 11531, ""description"": ""BOONA MOUNT NSW 2877""}, {""id"": 9924, ""description"": ""CONDOBOLIN NSW 2877""}, {""id"": 12421, ""description"": ""DERRIWONG NSW 2877""}, {""id"": 14517, ""description"": ""EREMERANG NSW 2877""}, {""id"": 14570, ""description"": ""EUABALONG NSW 2877""}, {""id"": 14584, ""description"": ""EUABALONG WEST NSW 2877""}, {""id"": 16580, ""description"": ""GILGUNNIA NSW 2877""}, {""id"": 14071, ""description"": ""KIACATOO NSW 2877""}, {""id"": 3340, ""description"": ""MOUNT HOPE NSW 2877""}, {""id"": 3518, ""description"": ""MULGUTHRIE NSW 2877""}]",
2878,"[{""id"": 12524, ""description"": ""IVANHOE NSW 2878""}, {""id"": 3903, ""description"": ""MOSSGIEL NSW 2878""}]",
2879,"[{""id"": 2481, ""description"": ""MENINDEE NSW 2879""}, {""id"": 7787, ""description"": ""SUNSET STRIP NSW 2879""}]",
2880,"[{""id"": 11679, ""description"": ""BROKEN HILL NSW 2880""}, {""id"": 11680, ""description"": ""BROKEN HILL NORTH NSW 2880""}, {""id"": 11681, ""description"": ""BROKEN HILL WEST NSW 2880""}, {""id"": 11659, ""description"": ""BROUGHAMS GATE NSW 2880""}, {""id"": 16298, ""description"": ""FOWLERS GAP NSW 2880""}, {""id"": 2778, ""description"": ""LITTLE TOPAR NSW 2880""}, {""id"": 3793, ""description"": ""MILPARINKA NSW 2880""}, {""id"": 3442, ""description"": ""MUTAWINTJI NSW 2880""}, {""id"": 299, ""description"": ""PACKSADDLE NSW 2880""}, {""id"": 6438, ""description"": ""SILVERTON NSW 2880""}, {""id"": 6231, ""description"": ""SOUTH BROKEN HILL NSW 2880""}, {""id"": 7678, ""description"": ""TIBOOBURRA NSW 2880""}]",
2890,"[{""id"": 11247, ""description"": ""AUSTRALIAN DEFENCE FORCES NSW 2890""}]",
2891,"[{""id"": 12468, ""description"": ""INTERNATIONAL MC NSW 2891""}]",
2898,"[{""id"": 2621, ""description"": ""LORD HOWE ISLAND NSW 2898""}]",
2899,"[{""id"": 823, ""description"": ""NORFOLK ISLAND NSW 2899""}]",
2900,"[{""id"": 15981, ""description"": ""GREENWAY ACT 2900""}]",
2901,"[{""id"": 4851, ""description"": ""TUGGERANONG DC ACT 2901""}]",
2902,"[{""id"": 12777, ""description"": ""KAMBAH ACT 2902""}, {""id"": 12778, ""description"": ""KAMBAH VILLAGE ACT 2902""}]",
2903,"[{""id"": 14589, ""description"": ""ERINDALE CENTRE ACT 2903""}, {""id"": 473, ""description"": ""OXLEY ACT 2903""}, {""id"": 4361, ""description"": ""WANNIASSA ACT 2903""}]",
2904,"[{""id"": 14976, ""description"": ""FADDEN ACT 2904""}, {""id"": 15604, ""description"": ""GOWRIE ACT 2904""}, {""id"": 3032, ""description"": ""MACARTHUR ACT 2904""}, {""id"": 3727, ""description"": ""MONASH ACT 2904""}]",
2905,"[{""id"": 11552, ""description"": ""BONYTHON ACT 2905""}, {""id"": 9105, ""description"": ""CALWELL ACT 2905""}, {""id"": 8551, ""description"": ""CHISHOLM ACT 2905""}, {""id"": 16502, ""description"": ""GILMORE ACT 2905""}, {""id"": 12448, ""description"": ""ISABELLA PLAINS ACT 2905""}, {""id"": 1513, ""description"": ""RICHARDSON ACT 2905""}, {""id"": 7352, ""description"": ""THEODORE ACT 2905""}]",
2906,"[{""id"": 10372, ""description"": ""BANKS ACT 2906""}, {""id"": 9922, ""description"": ""CONDER ACT 2906""}, {""id"": 15550, ""description"": ""GORDON ACT 2906""}]",
2911,"[{""id"": 9457, ""description"": ""CRACE ACT 2911""}, {""id"": 95124, ""description"": ""KENNY ACT 2911""}, {""id"": 3834, ""description"": ""MITCHELL ACT 2911""}]",
2912,"[{""id"": 15894, ""description"": ""GUNGAHLIN ACT 2912""}]",
2913,"[{""id"": 8306, ""description"": ""CASEY ACT 2913""}, {""id"": 16246, ""description"": ""FRANKLIN ACT 2913""}, {""id"": 1006, ""description"": ""NGUNNAWAL ACT 2913""}, {""id"": 1012, ""description"": ""NICHOLLS ACT 2913""}, {""id"": 356, ""description"": ""PALMERSTON ACT 2913""}, {""id"": 7436, ""description"": ""TAYLOR ACT 2913""}]",
2914,"[{""id"": 10978, ""description"": ""AMAROO ACT 2914""}, {""id"": 12246, ""description"": ""BONNER ACT 2914""}, {""id"": 16229, ""description"": ""FORDE ACT 2914""}, {""id"": 13157, ""description"": ""HARRISON ACT 2914""}, {""id"": 12535, ""description"": ""JACKA ACT 2914""}, {""id"": 3733, ""description"": ""MONCRIEFF ACT 2914""}, {""id"": 7336, ""description"": ""THROSBY ACT 2914""}]",
3000,"[{""id"": 2495, ""description"": ""MELBOURNE VIC 3000""}]",
3001,"[{""id"": 2496, ""description"": ""MELBOURNE VIC 3001""}]",
3002,"[{""id"": 15296, ""description"": ""EAST MELBOURNE VIC 3002""}]",
3003,"[{""id"": 4915, ""description"": ""WEST MELBOURNE VIC 3003""}]",
3004,"[{""id"": 2497, ""description"": ""MELBOURNE VIC 3004""}, {""id"": 6479, ""description"": ""ST KILDA ROAD CENTRAL VIC 3004""}, {""id"": 6481, ""description"": ""ST KILDA ROAD MELBOURNE VIC 3004""}]",
3005,[],
3006,"[{""id"": 6642, ""description"": ""SOUTH WHARF VIC 3006""}, {""id"": 6653, ""description"": ""SOUTHBANK VIC 3006""}]",
3008,"[{""id"": 15261, ""description"": ""DOCKLANDS VIC 3008""}]",
3010,"[{""id"": 4776, ""description"": ""UNIVERSITY OF MELBOURNE VIC 3010""}]",
3011,"[{""id"": 16222, ""description"": ""FOOTSCRAY VIC 3011""}, {""id"": 6998, ""description"": ""SEDDON VIC 3011""}, {""id"": 7000, ""description"": ""SEDDON WEST VIC 3011""}]",
3012,"[{""id"": 11701, ""description"": ""BROOKLYN VIC 3012""}, {""id"": 14470, ""description"": ""KINGSVILLE VIC 3012""}, {""id"": 3056, ""description"": ""MAIDSTONE VIC 3012""}, {""id"": 7627, ""description"": ""TOTTENHAM VIC 3012""}, {""id"": 4470, ""description"": ""WEST FOOTSCRAY VIC 3012""}]",
3013,"[{""id"": 5637, ""description"": ""YARRAVILLE VIC 3013""}, {""id"": 5638, ""description"": ""YARRAVILLE WEST VIC 3013""}]",
3015,"[{""id"": 919, ""description"": ""NEWPORT VIC 3015""}, {""id"": 6333, ""description"": ""SOUTH KINGSVILLE VIC 3015""}, {""id"": 6697, ""description"": ""SPOTSWOOD VIC 3015""}]",
3016,"[{""id"": 5758, ""description"": ""WILLIAMSTOWN VIC 3016""}, {""id"": 5761, ""description"": ""WILLIAMSTOWN NORTH VIC 3016""}]",
